Address,Closed School,Community area,Status,lat,lon
5345 W Congress Pkwy,"Armstrong, L",Austin,for sale,41.8738114637385,-87.7583383637554
5055 S State St,Attucks,Grand Boulevard,for sale,41.8027561337295,-87.6258198217613
1241 W 58th St,Bontemps,West Englewood,for sale,41.7885939330167,-87.656195438034
9207 S Phillips Ave,Buckingham,Calumet Heights,for sale,41.7279944930129,-87.5644558712602
1903 E 96th St,Burnham,South Deering,for sale,41.720527061921,-87.5772024012561
2833 W Adams St,Calhoun,East Garfield Park,for sale,41.8782463473708,-87.6970315897814
4959 S Blackstone Ave,Canter,Kenwood,repurposed,41.8049970614913,-87.5904643099869
1726 W Berteau Ave,Courtenay,Lake View,for sale,41.9579938552402,-87.6720815094219
2306 W Maypole Ave,Dett,Near West Side,for sale,41.8839713427049,-87.6854552505938
2651 W Washington Blvd,Dodge,East Garfield Park,repurposed,41.8828569039645,-87.6918904260658
2722 S King Dr,Drake,Douglas,sold,41.8441816733447,-87.6173493527546
2620 W Hirsch St,DuPrey/Von Humboldt,West Town,sold,41.9066994749854,-87.6933687107151
6121 S Hermitage Ave,Earle,West Englewood,for sale,41.7826877161599,-87.6678426838272
5500 W Madison St,Emmet,Austin,for sale,41.8803578984221,-87.7631976453242
6145 S Ingleside Ave,Fiske,Woodlawn,for sale,41.7834043498407,-87.6026618534582
4257 W Adams St,Goldblatt,West Garfield Park,for sale,41.8778188447337,-87.7312354967065
1326 S Avers Ave,Henson,North Lawndale,for sale,41.8638997769478,-87.7215376355165
517 N Parkside Ave,Key,Austin,for sale,41.8895825013756,-87.7663818748754
740 S Campbell Ave,King,Near West Side,for sale,41.8719854350001,-87.6887024024931
10414 S State St,Kohn*,Roseland,for sale,41.7048486729075,-87.6235450254565
2714 W Augusta Blvd,Lafayette,West Town,repurposed,41.8993854291593,-87.6948695911459
5221 W Congress Pkwy,Leland,Austin,sold,41.873847719528,-87.755369986175
230 N Kolmar Ave,Marconi,West Garfield Park,sold,41.8841749700611,-87.7393012659547
838 W Marquette Rd,Mays,Englewood,for sale,41.7725441103301,-87.6458880746803
412 S Keeler Ave,Melody,West Garfield Park,for sale,41.8751446658808,-87.7304737767492
8407 S Kerfoot Ave,Morgan,Auburn Gresham,for sale,41.7414207009361,-87.6402815317966
739 N Ada St,Near North,West Town,sold,41.895128904037,-87.6612883233864
221 E 49th St,Overton,Grand Boulevard,sold,41.8055825739133,-87.6209487866043
12450 S State St,Owens,West Pullman,repurposed,41.6682903967876,-87.6224103548357
2221 S Lawndale Ave,Paderewski,South Lawndale,for sale,41.8510028699321,-87.7173244536109
245 W 51st St,Parkman,Fuller Park,for sale,41.8017176838875,-87.6328532201526
1444 W Augusta Blvd,Peabody,West Town,sold,41.8998535284391,-87.6639327820405
3113 S Rhodes Ave,Pershing,Douglas,for sale,41.8383716925944,-87.6134074780516
1852 S Albany Ave,Pope,North Lawndale,repurposed,41.8559412458923,-87.7029410731446
6059 S Wabash Ave,Ross ,Washington Park,for sale,41.7844860350662,-87.6237288046091
11725 S Perry Ave,Songhai,West Pullman,for sale,41.6809715596032,-87.6251170760951
4525 N Kenmore Ave,Stewart,Uptown,sold,41.96500309259,-87.6560954620225
5200 N Ashland Ave,Trumbull,Edgewater,sold,41.9761853704306,-87.6697043456129
410 N Monticello Ave,"Ward, L ",Humboldt Park,for sale,41.8898304417848,-87.7174016311809
6950 S Sangamon St,Wentworth,Englewood,for sale,41.7676535434207,-87.6482084300642
11941 S Parnell Ave,West Pullman,West Pullman,for sale,41.6768968485435,-87.6357707242476
6206 S Racine Ave,Woods ,West Englewood,for sale,41.7813351334832,-87.6546375442825
7025 S Princeton Ave,Yale,Greater Grand Crossing,for sale,41.7660857718051,-87.6321428288816
